SITE,Waterbody,Year,LATITUDE,LONGITUDE,Easting,Northing,TMEAN,TRANGE,Altitude,Slope,Discharge,Dist_from_Source,Alkalinity,Mean_Width,Mean_Depth,Boulder_Cobbles,Pebbles_Gravel,Sand,Silt_Clay,lat_raw,lon_raw,EG7,EG43
20304501,Dane,1980,53.17,-2.1,393000,363600,9.91,12.6,140,5,4,12,60.2,10,23.3,27,73,0,0,416656.7291,349386.6279,NA,NA
20400001,Weaver,1980,53.08,-2.52,365100,353600,9.95,12.69,40,1.4,5,34,209.7,10.7,71.1,3,40,20,37,407342.4191,327531.9767,NA,NA
20400003,Derwent,1980,54.55,-3.15,325500,517600,9.39,11.67,79,3.8,5,9,13.6,18.2,21.1,25,70,5,0,559476.1499,294750,NA,NA
20400201,Derwent,1980,54.62,-3.17,324300,526000,9.39,11.61,72,0.6,7,18,18.6,13.5,43.7,25,75,0,0,566720.6133,293709.3023,NA,NA
20400301,Derwent,1980,54.68,-3.24,320000,532100,9.39,11.57,69,0.6,7,26,17.4,27.7,45.2,15,80,5,0,572930.1533,290066.8605,NA,NA
20400701,Derwent,1980,54.66,-3.37,311600,530700,9.43,11.23,46,2.5,8,38,19.8,34,39.4,6,87,7,0,570860.3066,283302.3256,NA,NA
20400901,Derwent,1980,54.66,-3.48,304600,530400,9.45,10.86,30,2.1,8,46,35.8,50.7,37.6,75,25,0,0,570860.3066,277578.4884,NA,NA
20500001,Derwent,1980,54.65,-3.54,300900,529300,9.47,10.77,12,3.3,8,51.1,29.6,35.3,50.8,47,47,6,0,569825.3833,274456.3953,NA,NA
20500101,Ehen/Liza,1980,54.53,-3.44,306800,515900,9.49,10.82,107,4.3,4,15,45.3,7.7,24.6,70,30,0,0,557406.3032,279659.8837,NA,NA
20500501,Ehen/Liza,1980,54.5,-3.52,301400,513000,9.5,10.7,46,5,5,21,45.3,15.3,22.8,70,25,5,0,554301.5332,275497.093,NA,NA
20501301,Ehen/Liza,1980,54.5,-3.53,301200,512500,9.5,10.7,45,5,6,22,45.3,10.5,21.9,45,50,5,0,554301.5332,274976.7442,NA,NA
20600001,Ehen/Liza,1980,54.44,-3.53,300700,506100,9.49,10.74,15,2.7,6,28,45.3,11.3,30.3,44,50,6,0,548091.9932,274976.7442,NA,NA
20600501,Derwent,1980,54.31,-0.55,494200,491000,9.49,11.95,60,2.7,2,10,101.4,6.4,21.7,58,36,3,1,534637.9898,430040.6977,NA,NA
20600901,Derwent,1980,54.25,-0.48,498800,484800,9.47,11.97,45,2,3,20,101.4,9.7,36.7,17,1,41,41,528428.4497,433683.1395,NA,NA
20601301,Derwent,1980,54.2,-0.63,489200,479500,9.44,12.3,20,0.4,5,34,188.4,5,82.8,1,3,48,48,523253.833,425877.907,NA,NA
20601701,Derwent,1980,54.13,-0.79,479000,471500,9.45,12.46,17,0.4,7,51.1,138.9,20,172.2,0,7,53,40,516009.3697,417552.3256,NA,NA
2103,Derwent,1980,53.99,-0.92,471000,455500,9.46,12.91,8,0.3,7,76,138.1,21.7,150,0,60,3,37,501520.4429,410787.7907,6,38
2107,Derwent,1980,53.87,-0.94,469700,442400,9.39,13.09,8,0.3,7,92.9,138.1,21.7,183.2,0,13,10,77,489101.3629,409747.093,6,39
2109,Mill Beck,1980,54.06,-0.74,482200,463800,9.45,12.6,116,66.7,1,0.2,130,0.5,8,0,12,0,88,508764.9063,420154.0698,5,36
2111,Long Gill,1980,54.33,-0.67,486600,493500,9.48,11.97,190,20,1,1,88,0.6,4.9,5,32,2,61,536707.8365,423796.5116,7,41
2201,Halleykeld Spring Stream,1980,54.26,-0.56,493900,486000,9.48,12,132,40,1,0.1,170,0.5,4.1,23,60,7,10,529463.3731,429520.3488,3,21
2203,Cowhouse Beck,1980,54.31,-1.08,459800,491200,9.42,12.42,184,40,1,1,179,2.2,8,73,18,4,5,534637.9898,402462.2093,3,21
2205,Mire Falls Gill,1980,54.26,-1.13,456600,485300,9.4,12.62,112,28.6,1,0.3,162,0.6,7.7,30,42,7,21,529463.3731,399860.4651,3,21
2207,Sledhill Gill,1980,54.28,-1.18,453100,487000,9.38,12.69,170,50,1,1,145,1.1,16.2,7,57,21,15,531533.2198,397258.7209,3,17
2209,Wheat Beck,1980,54.35,-1.24,449600,495000,9.35,12.65,227,57.1,1,1.3,76.8,1.2,7.1,55,32,5,8,538777.6831,394136.6279,3,17
2211,Holbeck,1980,54.19,-0.97,466900,477300,9.44,12.43,33,2.5,2,13.5,179.2,3.3,19.3,22,72,3,3,522218.9097,408186.0465,NA,NA
2301,Pickering Beck,1980,54.31,-0.75,481600,491100,9.48,12.03,67,5,1,10.1,67.8,4,13.1,47,26,0,27,534637.9898,419633.7209,6,38
2303,Seph,1980,54.31,-1.13,456300,490700,9.41,12.5,112,3.3,3,14.5,42.5,8,14.6,49,43,8,0,534637.9898,399860.4651,7,41
2305,Menethorpe Beck,1980,54.1,-0.83,476800,467600,9.44,12.51,16,6.7,1,9,216,1.7,16,19,57,18,6,512904.5997,415470.9302,5,36
2307,Rye,1980,54.21,-0.98,466400,479400,9.43,12.45,33,2.2,5,38,85.3,16.7,24.6,6,87,3,5,524288.7564,407665.6977,5,36
23501101,Esk,1980,54.46,-0.82,476200,507600,9.54,11.79,90,6,4,20,20.1,13,20.6,80,18,2,0,550161.8399,415991.2791,NA,NA
23600201,Esk,1980,54.46,-0.66,486900,508200,9.45,11.59,12,2.3,5,36,33,14,30.6,70,20,10,0,550161.8399,424316.8605,NA,NA
23600301,Swale,1980,54.41,-2.18,388500,501500,9.07,12.64,353,10,4,7,61.9,2.7,25.6,61,39,0,0,544987.2232,345223.8372,NA,NA
23600401,Swale,1980,54.38,-2.1,393300,497800,9.1,12.64,225,5,5,14,61.9,19.3,16.7,63,36,1,0,541882.4532,349386.6279,NA,NA
23600501,Swale,1980,54.38,-1.93,404600,498500,9.12,12.78,180,3.8,6,29,67,20,32.8,81,17,2,0,541882.4532,358232.5581,NA,NA
23600601,Swale,1980,54.4,-1.78,414600,500700,9.18,12.91,117,6,7,44,83.3,20,26.7,74,23,2,0,543952.2998,366037.7907,NA,NA
23600701,Swale,1980,54.32,-1.51,431900,491800,9.3,12.88,27,0.3,7,70,107.9,20,38.9,45,48,6,0,535672.9131,380087.2093,NA,NA
23600703,Swale,1980,54.18,-1.39,439800,475900,9.36,13.16,18,0.3,7,94,141.7,22.3,29.4,65,27,2,7,521183.9864,386331.3953,NA,NA
23600801,Ouse/Ure,1980,54.05,-1.29,446700,462100,9.39,13.16,14,0.3,9,114,140.7,50,177.8,0,60,3,37,507729.983,391534.8837,NA,NA
23600901,Ouse/Ure,1980,53.99,-1.15,455600,455200,9.41,13.11,13,0.3,9,129.1,126.9,50,161.1,0,0,33,67,501520.4429,398819.7674,NA,NA
23601201,Ouse/Ure,1980,53.9,-1.1,459100,445500,9.37,13.12,8,0.3,9,143.9,124.1,80,200,0,17,42,42,492206.1329,401421.5116,NA,NA
23601401,Cowside Beck,1980,54.13,-2.15,390300,470000,9.22,12.02,303,20,3,4,103.3,7.1,25.5,89,8,1,2,516009.3697,346784.8837,NA,NA
23601501,Cowside Beck,1980,54.14,-2.11,393000,471900,9.21,12.06,220,20,3,7.5,103.3,7.5,28.2,91,9,0,0,517044.293,348866.2791,NA,NA
2401,Wharfe,1980,54.2,-2.1,393300,478300,9.15,12.18,230,5.8,4,12,77.7,7,20,73,20,5,2,523253.833,349386.6279,4,27
2403,Wharfe,1980,54.07,-2,399700,463900,9.3,12.22,165,6.6,6,29.5,94.4,28,27,53,37,8,2,509799.8296,354590.1163,6,38
2405,Wharfe,1980,53.94,-1.87,408400,449900,9.47,12.62,83,2.5,7,51.2,62.7,30,40.3,33,53,3,10,496345.8262,361354.6512,6,38
2409,Gordale Beck,1980,54.08,-2.13,391200,465400,9.27,12.05,350,25,1,2.8,72,5.7,20.9,40,42,8,11,510834.753,347825.5814,7,43
2505,Wharfe,1980,53.91,-1.71,418800,445500,9.48,12.76,55,1.8,7,66.2,162.2,30,39.3,53,30,5,12,493241.0562,369680.2326,5,35
2507,Gordale Beck,1980,54.07,-2.13,391400,463600,9.3,12.1,230,50,1,4.8,72,5.2,14.9,84,12,3,1,509799.8296,347825.5814,NA,NA
2509,Wharfe,1980,53.92,-1.38,440600,447700,9.41,12.99,15,1.3,7,96.2,118.1,36.7,25.7,27,53,18,2,494275.9796,386851.7442,7,43
2513,Tees,1980,54.7,-2.37,376200,533800,8.94,12.52,530,5,4,6,28,12.7,11.4,40,58,2,0,575000,335337.2093,6,38
2521,Tees,1980,54.65,-2.29,381400,528800,8.95,12.59,460,3.3,4,15,28,14,27.8,83,14,0,3,569825.3833,339500,7,41
2523,Tees,1980,54.63,-2.11,393100,525900,8.97,12.75,240,5,6,30,28,33.3,33.3,70,27,1,1,567755.5366,348866.2791,7,43
2601,Tees,1980,54.55,-1.94,404200,517200,9.12,12.89,130,1.9,7,46,31.7,30,40,82,13,2,3,559476.1499,357712.2093,6,38
2605,Tees,1980,54.54,-1.72,417800,516300,9.19,12.77,60,2,7,61.9,57.7,26.7,26.1,92,7,0,0,558441.2266,369159.8837,7,41
2607,Tees,1980,54.5,-1.47,434600,511400,9.31,12.65,4,0.9,8,105.9,77.5,22.7,19.4,73,24,3,0,554301.5332,382168.6047,7,41
2609,South Tyne,1980,54.73,-2.38,375800,537200,8.92,12.52,550,60,3,2,78.3,6,19.4,98,2,0,0,578104.77,334816.8605,7,41
2611,South Tyne,1980,54.81,-2.44,371700,545900,8.88,12.4,274,10,5,12,78.3,16.7,27.8,89,9,2,0,586384.1567,331694.7674,5,36
2619,South Tyne,1980,54.89,-2.49,368300,555400,8.76,12.2,183,6,6,20,78.3,20.7,33.9,87,12,1,0,594663.5434,329093.0233,5,36
2621,South Tyne,1980,54.95,-2.51,367400,561700,8.66,12.17,120,6,6,33,78.3,24.3,28.9,88,12,1,0,600873.0835,328052.3256,5,36
2703,South Tyne,1980,54.97,-2.34,378100,564300,8.68,12.24,60,2.7,7,43,78.3,26.7,32.2,82,11,3,3,602942.9302,336898.2558,3,19
2705,South Tyne,1980,54.99,-2.14,391000,565900,8.9,12.3,55,1.8,7,59,78.3,60,36.1,62,33,5,0,605012.7768,347305.2326,3,19
2707,Tyne/North Tyne,1980,54.97,-2.02,399000,564100,9.04,12.36,30,1.2,9,75,70.7,116.7,57.8,67,28,3,2,602942.9302,353549.4186,3,19
2709,Tyne/North Tyne,1980,54.97,-1.83,411100,564300,9.17,12.17,25,1.5,9,89.9,87.2,106.7,66.1,56,37,0,7,602942.9302,363436.0465,2,10
2711,South Tyne,1980,54.72,-2.38,375500,536100,8.93,12.51,518,50,3,0.8,83.3,1.7,10.8,82,18,0,0,577069.8467,334816.8605,2,9
2713,Wansbeck,1980,55.15,-2.01,399600,584400,8.87,12.02,140,15,2,5,132.6,6.7,15.6,57,30,1,12,621571.5503,354069.7674,5,32
2715,Wansbeck,1980,55.15,-1.92,405300,584200,8.95,12.04,100,5,2,12,132.6,6,21.7,77,16,7,0,621571.5503,358752.907,5,32
2717,Wansbeck,1980,55.16,-1.81,411900,585000,9.01,11.88,66,6,5,20,132.6,9,21.1,82,18,0,0,622606.4736,364476.7442,3,19
2719,Wansbeck,1980,55.17,-1.73,417400,585800,8.97,11.6,50,5,5,32,132.6,13,30.4,63,27,7,3,623641.3969,368639.5349,NA,NA
2721,Wansbeck,1980,55.17,-1.63,423600,586200,8.97,11.54,10,2.5,5,43,170.1,16.7,27.2,56,35,4,5,623641.3969,373843.0233,5,32
2801,Teith,1980,56.24,-4.21,262800,707800,8.64,12.52,70,3,7,36,9.2,46,26.7,59,29,6,6,734378.1942,239593.0233,3,26
2815,Teith,1980,56.21,-4.15,266800,704500,8.7,12.53,45,5,7,44,11,27,53.3,80,16,3,0,731273.4242,242715.1163,NA,NA
2901,Teith,1980,56.15,-3.99,276300,696600,8.86,12.65,15,0.2,8,60.8,11.5,30,100,27,32,8,33,725063.8842,251040.6977,2,15
2903,Teith,1980,56.19,-4.06,272300,701300,8.78,12.57,30,3.3,8,50,10.5,24,61.7,38,33,29,0,729203.5775,247398.2558,3,19
2905,Forth,1980,56.18,-4.41,250700,701400,8.63,12.32,20,2,6,15,9,13.3,29.7,72,19,9,0,728168.6542,229186.0465,5,32
2907,Forth,1980,56.15,-4.26,259900,697400,8.82,12.42,11,0.3,7,28,13,28,36.1,12,47,41,0,725063.8842,236991.2791,3,17
2909,Forth,1980,56.14,-4.14,266900,696000,8.84,12.54,8,0.3,7,37,16,19,33.3,20,38,36,6,724028.9608,243235.4651,3,17
2911,Forth,1980,56.14,-4.08,271000,695600,8.88,12.6,7,0.3,7,44,26.6,23,35.6,62,0,27,11,724028.9608,246357.5581,3,17
3001,Forth,1980,56.14,-3.98,277000,695500,8.88,12.65,5,0.3,7,56,30,22,38.6,75,6,6,13,724028.9608,251561.0465,3,19
3003,Caorainn Achaidh Burn,1980,56.2,-4.6,238600,704300,8.46,11.99,160,75,1,3,3.5,2.8,12.9,67,28,3,0,730238.5009,219299.4186,3,18
3005,Allt Tairbh,1980,56.2,-4.51,244000,703200,8.52,12.11,76,150,1,2,2.4,2.2,10.8,66,26,8,0,730238.5009,223982.5581,3,19
3007,Green Burn,1980,56.13,-4.39,251500,695500,8.76,12.24,30,45.7,1,4,9.5,3,17.5,70,25,5,0,722994.0375,230226.7442,3,18
3101,Balvag/Larig,1980,56.33,-4.53,243700,718100,8.41,12.05,135,0.6,6,9.3,8,12,41.3,73,22,4,1,743692.5043,222941.8605,3,20
3103,Tyne,1980,55.85,-2.99,337800,661800,8.94,11.72,130,10,1,5,140.4,3.4,7.6,57,38,2,3,694016.184,303075.5814,6,38
3105,Tyne,1980,55.91,-2.94,341300,668900,8.96,11.5,90,3.3,3,13,167.9,2.3,25.7,47,46,2,4,700225.724,305677.3256,5,36
3107,Tyne,1980,55.91,-2.87,345900,669000,8.98,11.42,70,2.5,4,18,110.6,12.2,21.7,37,60,3,0,700225.724,309319.7674,5,36
3109,Tyne,1980,55.95,-2.78,351300,673300,8.95,11.35,40,2.1,5,26,113.3,10.7,14.4,70,30,0,0,704365.4174,314002.907,5,36
3111,Tyne,1980,55.99,-2.65,359300,677200,8.96,11.08,20,3,5,35,116.3,13.5,26.7,69,26,3,3,708505.1107,320767.4419,5,36
3141,Dee,1980,57.01,-3.41,314300,791500,8.42,12.07,320,2.5,7,27,21.5,19,20.3,80,12,5,4,814067.2913,281220.9302,4,30
3144,Dee,1980,57.04,-3.2,327100,794400,8.36,11.98,250,6,8,41,25.7,35,58.3,99,1,0,0,817172.0613,292148.2558,4,30
3145,Dee,1980,57.06,-3.01,338500,796500,8.36,11.97,190,5,8,59,25.7,45,56.1,95,5,0,0,819241.908,302034.8837,4,30
3150,Dee,1980,57.07,-2.73,355700,798000,8.36,12.06,110,5,8,80.9,25.7,50,76,90,8,1,1,820276.8313,316604.6512,4,29
3151,Dee,1980,57.07,-2.65,360800,797300,8.42,11.95,100,3.8,8,89.9,27.6,50,42.2,49,49,2,0,820276.8313,320767.4419,4,30
3152,Dee,1980,57.06,-2.46,371900,796400,8.31,11.76,40,2.1,9,103,28.8,75,102.1,70,30,0,0,819241.908,330654.0698,4,30
3153,Dee,1980,57.11,-2.16,390400,802300,8.3,11.17,9,1.2,9,125.9,28.7,48,76.7,80,20,0,0,824416.5247,346264.5349,2,8
3157,Spey,1980,57.02,-4.43,252200,794700,8.24,11.58,290,30,5,9,12.5,39,25.8,83,17,0,0,815102.2147,228145.3488,6,37
3160,Spey,1980,57.02,-4.28,261400,794300,8.26,11.75,240,1.2,5,20,12.5,38,26.7,5,95,0,0,815102.2147,235950.5814,3,26
3162,Spey,1980,57.06,-4.13,270800,798000,8.32,11.92,230,3,6,32,17.7,44,37.2,44,56,0,0,819241.908,243755.814,3,26
3163,Spey,1980,57.25,-3.75,294600,818800,8.45,11.87,200,0.9,8,67,17.7,45,63.2,70,30,0,0,838905.4514,263529.0698,6,37
3166,Spey,1980,57.32,-3.6,303800,826400,8.47,11.78,190,0.9,8,83.9,17.3,55,77.3,75,22,0,3,846149.9148,271334.3023,3,24
3205,Spey,1980,57.43,-3.36,318300,838800,8.55,11.59,135,6,9,100,23.6,42,113.2,40,50,5,5,857534.0716,283822.6744,3,19
3207,Spey,1980,57.63,-3.1,334300,861000,8.63,11.23,15,4.3,9,140,27.3,45,100,88,12,0,0,878232.5383,297351.7442,3,19
3301,Stinchar,1980,55.23,-4.52,239500,595600,8.96,10.95,351,60,1,3,22.4,1.4,18.3,69,23,8,0,629850.937,223462.2093,2,14
3303,Stinchar,1980,55.23,-4.64,232100,595700,9.08,10.74,136,4.3,5,10,32,8.5,18.7,56,40,5,0,629850.937,217218.0233,2,9
3305,Stinchar,1980,55.21,-4.72,227200,593700,9.08,10.66,98,2.5,5,18,34.6,10.8,21,70,30,0,0,627781.0903,213055.2326,2,11
3307,Stinchar,1980,55.17,-4.82,220400,589900,9.1,10.54,76,1.7,6,25,62.8,9.4,27.5,49,51,0,0,623641.3969,207851.7442,2,11
3309,Stinchar,1980,55.13,-4.92,214000,585800,9.18,10.32,26,2.1,7,33,32.4,15.1,26.7,54,33,7,7,619501.7036,202648.2558,NA,NA
3311,Stinchar,1980,55.1,-5,208900,582500,9.19,10.28,5,3.3,7,40,36.3,22.8,30,12,78,5,5,616396.9336,198485.4651,5,31
3313,Annan,1980,55.38,-3.46,307300,611000,8.62,11.87,175,10,1,4.5,34.3,1.9,17.8,40,60,0,0,645374.7871,278619.186,7,41
3315,Annan,1980,55.34,-3.45,307900,605800,8.63,11.84,95,8.6,4,11,34.3,5.5,17.5,49,50,1,0,641235.0937,279139.5349,7,41
3317,Annan,1980,55.24,-3.4,310900,594900,8.7,11.78,70,1.8,6,20,41.3,45,27,48,52,0,0,630885.8603,281741.2791,7,41
3372,Annan,1980,55.15,-3.4,310500,585400,8.81,11.79,53,1.6,7,33,51.5,35,57.8,52,48,0,0,621571.5503,281741.2791,2,16
3376,Annan,1980,55.07,-3.38,311800,576000,8.88,11.63,35,0.8,8,45,51.5,70,66.7,58,35,7,0,613292.1635,282781.9767,2,12
3381,Annan,1980,55.02,-3.27,318700,570700,8.95,11.59,16,1.8,8,55,49.5,86.7,61.1,74,24,2,0,608117.5468,288505.814,2,12
3385,Allt Coire Crubaidh,1980,57.53,-5.2,208600,853100,8.5,10.58,180,20,2,4,5,5.3,26.9,77,23,0,0,867883.3049,188078.4884,3,22
3389,Lair,1980,57.48,-5.33,200200,848100,8.55,10.5,45,5.7,3,5,5,10.1,29.8,61,39,0,0,862708.6882,181313.9535,3,22
3391,Fionn Abhainn,1980,57.45,-5.41,195700,845300,8.56,10.43,35,13.3,4,8,5,8.2,52.8,56,44,0,0,859603.9182,177151.1628,3,26
3393,Carron,1980,57.52,-5.2,208100,852000,8.51,10.58,160,5,3,5,5,11.1,33.1,40,50,10,0,866848.3816,188078.4884,5,32
3395,Carron,1980,57.49,-5.3,202300,848800,8.56,10.53,50,6.7,6,10,7.5,24.4,51.3,67,33,0,0,863743.6116,182875,3,23
3397,Carron,1980,57.46,-5.37,197800,845800,8.53,10.49,40,20,6,15,7.5,21.7,68.7,40,52,6,1,860638.8416,179232.5581,5,32
3401,Carron,1980,57.43,-5.43,194000,842500,8.57,10.38,2,2,7,21,7.5,25.3,59.2,50,50,0,0,857534.0716,176110.4651,2,11
3403,Carron,1980,57.53,-5.15,211600,853700,8.45,10.67,170,22.2,1,1.2,9.1,1.7,12.5,35,63,3,0,867883.3049,190680.2326,2,11
3405,Traligill,1980,58.15,-4.97,225000,921800,8.48,9.47,70,13.3,4,5,27.5,11.5,24.7,50,50,0,0,932048.552,200046.5116,NA,NA
3407,Loanan,1980,58.1,-4.97,225000,916200,8.49,9.56,160,5.7,2,1,22.5,4,53.8,60,35,2,4,926873.9353,200046.5116,NA,NA
3409,Loanan,1980,58.15,-4.98,224600,921600,8.48,9.46,70,0.7,4,6,22.5,14.7,53.8,17,72,10,2,932048.552,199526.1628,3,18
3413,Inver,1980,58.18,-5.14,215400,925000,8.48,9.12,60,0.7,6,19,25,21,172.2,30,65,5,0,935153.322,191200.5814,5,32
3501,Inver,1980,58.16,-5.23,209700,923200,8.5,8.99,15,8,6,28,25,10,54.5,60,40,0,0,933083.4753,186517.4419,2,14
3503,Durness Stream,1980,58.56,-4.75,240300,966900,8.48,8.37,30,13.3,1,1,146.7,1.2,12.9,80,20,0,0,974480.4089,211494.186,NA,NA
3505,Halladale,1980,58.37,-3.89,289300,943800,8.05,10.44,120,10,3,4,14.4,2,48.3,63,32,5,0,954816.8654,256244.186,2,14
3507,Halladale,1980,58.41,-3.88,290300,948600,8.04,10.43,70,10,4,10,14.4,20,33.3,70,30,0,0,958956.5588,256764.5349,NA,NA
3509,Halladale,1980,58.48,-3.9,289000,956000,8.05,10.39,25,2.5,6,18,14.3,23.3,47.8,73,26,1,0,966201.0221,255723.8372,NA,NA
3511,Halladale,1980,58.53,-3.9,289600,961800,8.05,10.37,8,1.3,6,25,8.6,17.7,47.2,20,76,4,0,971375.6388,255723.8372,3,19
3513,Burn of Aultachleven,1980,58.36,-3.4,318000,942000,8.03,9.92,130,100,1,3,35.2,3.7,24.4,80,20,0,0,953781.9421,281741.2791,3,18
3515,Little River,1980,58.4,-3.42,317000,946900,7.99,10,80,2.5,3,10,35.2,9.3,31.7,77,23,0,0,957921.6354,280700.5814,3,19
3581,Thurso,1980,58.45,-3.49,313000,951800,7.93,10.18,60,2.5,6,16,13.3,21.7,71.1,90,10,0,0,963096.2521,277058.1395,2,8
3601,Thurso,1980,58.54,-3.47,314300,962100,7.97,10.03,20,1.4,6,30,20.8,25,90.6,90,10,0,0,972410.5622,278098.8372,3,20
3603,Unnamed,1980,58.35,-3.4,318000,940800,8.02,9.9,120,3.1,1,1.3,90,0.9,25.1,47,53,0,0,952747.0187,281741.2791,3,20
3605,Unnamed,1980,58.45,-3.5,312300,951700,7.93,10.19,60,4,1,0.6,30.5,0.8,19.5,79,21,0,0,963096.2521,276537.7907,3,19
3607,Tweed,1980,55.46,-3.49,305500,619400,8.61,11.89,305,15,3,8,49,4,17.8,35,65,0,0,653654.1738,277058.1395,5,31
3609,Tweed,1980,55.49,-3.46,308000,623000,8.61,11.88,265,8.6,3,13,55.6,8,18.9,62,38,0,0,656758.9438,278619.186,3,19
3701,Tweed,1980,55.54,-3.41,310900,628500,8.63,11.89,225,5.3,5,20,54.5,15,35,28,71,1,0,661933.5605,281220.9302,3,18
3703,Tweed,1980,55.61,-3.33,316500,635500,8.63,11.84,180,1.2,6,31,103.1,20,73.3,13,80,4,3,669178.0239,285383.7209,3,18
3704,Tweed,1980,55.65,-3.18,325800,640000,8.64,11.83,160,3.5,7,45,68.5,20,46.7,70,29,1,0,673317.7172,293188.9535,5,31
3705,Tweed,1980,55.58,-2.81,348800,632300,8.74,11.93,100,2.4,8,72.9,84.2,25,62.2,47,52,1,1,666073.2538,312441.8605,3,19
3709,Tweed,1980,55.6,-2.67,357600,634700,8.86,11.92,85,1.2,9,84.9,63.7,46.7,106.7,67,33,0,0,668143.1005,319726.7442,3,19
3711,Tweed,1980,55.65,-2.3,381400,639300,8.93,11.67,20,0.9,9,121.9,138.6,50,69.5,23,73,3,0,673317.7172,338979.6512,5,31
3713,Tweed,1980,55.71,-2.17,389300,646500,8.94,11.28,12,0.4,9,138,145.6,70,200,10,82,6,3,679527.2572,345744.186,5,31
3715,Whiteadder Water,1980,55.86,-2.5,368900,662600,9.02,11.25,190,10,3,11,84,9,16,80,18,2,0,695051.1073,328572.6744,5,32
3717,Whiteadder Water,1980,55.81,-2.36,377400,657700,9.02,11.14,94,5,5,30,84,17.7,18,65,31,4,0,689876.4906,335857.5581,5,31
3781,Whiteadder Water,1980,55.79,-2.22,386400,654700,8.94,11.02,35,3.3,5,44,87,19.3,26,78,18,3,0,687806.644,343142.4419,2,8
3783,Whiteadder Water,1980,55.78,-2.1,393700,653600,8.9,10.78,9,1,6,55,121,18,25,73,23,4,0,686771.7206,349386.6279,2,8
3785,Blackadder Water,1980,55.72,-2.51,367700,647800,8.96,11.63,175,3.3,2,10.7,153,4.2,26.3,32,52,10,7,680562.1806,328052.3256,2,8
3791,Blackadder Water,1980,55.73,-2.37,377000,649100,8.99,11.47,95,5.9,3,22.9,170,8.3,19,73,23,4,0,681597.1039,335337.2093,2,8
3801,Blackadder Water,1980,55.78,-2.22,386400,654500,8.94,11.03,35,3.3,4,35.5,183.3,10,17,60,35,5,0,686771.7206,343142.4419,3,26
3803,Otter,1980,50.9,-3.11,322300,112200,10.45,11.45,185,10,1,3,62.9,2.4,21.6,13,74,9,4,181729.1312,296831.3953,3,21
3805,Otter,1980,50.86,-3.13,320300,107300,10.48,11.35,135,6,3,10,62.9,3.9,28.4,15,67,12,5,177589.4378,295790.6977,3,19
3807,Otter,1980,50.82,-3.16,318400,103000,10.49,11.28,100,4.3,3,15,71.3,6,39.4,20,49,7,24,173449.7445,294229.6512,5,32
3809,Otter,1980,50.79,-3.24,312300,99300,10.51,11.27,64,4.2,4,22.1,85.9,11.7,28.3,78,19,1,1,170344.9744,290066.8605,5,32
3903,Otter,1980,50.7,-3.29,308800,90000,10.68,11.16,12,2.7,5,34.6,100.1,19,28.3,49,47,2,2,161030.6644,287465.1163,2,10
3905,Frome,1980,50.82,-2.58,358900,102300,10.6,11.69,130,8.6,1,3,153.9,2.3,33.6,1,41,53,5,173449.7445,324409.8837,2,11
3907,Frome,1980,50.75,-2.53,362300,94900,10.76,11.53,80,1.5,4,13,167.1,12,41.1,27,62,9,2,166205.2811,327011.6279,2,11
3909,Frome,1980,50.71,-2.4,372100,90400,10.86,11.64,47,2.1,4,25,173.8,7.7,41,12,67,19,2,162065.5877,333776.1628,3,18
3911,Frome,1980,50.7,-2.27,380600,89500,10.82,11.72,30,2,5,35,172.7,45.8,29.6,2,69,19,9,161030.6644,340540.6977,2,11
3913,Frome,1980,50.68,-2.19,386600,86700,10.82,11.67,13,10,6,43,171.9,18,64.4,13,61,22,4,158960.8177,344703.4884,3,18
3915,Wool Stream,1980,50.68,-2.22,384800,86900,10.86,11.62,14,2.4,1,0.9,226,2.3,12.2,2,48,49,1,158960.8177,343142.4419,3,18
4001,Axe,1980,51.22,-2.67,353100,147300,10.45,12.33,48,10.7,2,1,133.2,3.5,29.2,17,62,12,10,214846.678,319726.7442,2,10
4003,Axe,1980,51.2,-2.74,348100,145400,10.47,12.26,6,1.2,2,8,218.2,4.3,21.7,77,8,5,10,212776.8313,316084.3023,2,11
4005,Axe,1980,51.28,-2.85,340600,153700,10.52,12.41,5,1.2,3,20,152.4,10.7,97.3,0,0,0,100,221056.2181,310360.4651,2,11
4009,Ober Water,1980,50.83,-1.68,422700,103600,10.61,12.39,35,4,1,5,29.8,2.4,33.2,0,15,27,58,174484.6678,371241.2791,2,11
4011,Ober Water,1980,50.82,-1.62,426800,102700,10.64,12.42,23,2.7,1,10,22.1,3.4,13.5,9,86,4,1,173449.7445,374363.3721,2,11
4013,Highland Water,1980,50.87,-1.62,426800,107900,10.67,12.45,33,6.4,1,6,41.6,2.6,44.5,7,81,10,2,178624.3612,374363.3721,3,18
4017,Lymington,1980,50.83,-1.58,429700,103600,10.68,12.43,12,4,3,10,27.8,8.2,16.6,2,87,10,1,174484.6678,376444.7674,2,11
4101,Lymington,1980,50.78,-1.55,432000,98400,10.77,12.22,2,0.8,3,18,51.8,12.3,26.8,1,44,25,30,169310.0511,378005.814,2,10
4103,Ober Water,1980,50.84,-1.71,420500,105000,10.6,12.33,60,5.9,1,3,12,3.2,13.1,2,88,5,5,175519.5911,369680.2326,2,11
