SITE,Waterbody,Year,LATITUDE,LONGITUDE,Easting,Northing,TMEAN,TRANGE,Altitude,Slope,Discharge,Dist_from_Source,Alkalinity,Mean_Width,Mean_Depth,Boulder_Cobbles,Pebbles_Gravel,Sand,Silt_Clay,lat_raw,lon_raw,EG7,EG43
0603,Avon,1980,51.3,-1.81,413200,155800,10.15,12.89,95,1.7,3,11,257,5.3,20,1,62,35,2,223126.0647,364476.7442,5,35
0605,Avon,1980,51.19,-1.77,416300,143700,10.3,12.81,74,1,4,27,243,11,45,8,84,6,2,211741.908,366558.1395,5,34
0607,Avon,1980,51.1,-1.82,412900,133000,10.36,12.78,50,1.1,5,40,243,14.7,31.1,20,56,23,0,202427.598,363956.3953,5,34
0609,Avon,1980,50.96,-1.77,416300,117400,10.49,12.52,30,0.8,7,61,226.5,14.7,43.9,17,53,18,12,187938.6712,366558.1395,5,34
0610,Avon,1980,50.83,-1.79,414900,103500,10.6,12.29,15,0.8,7,80,218,7.7,31.1,2,75,15,8,174484.6678,365517.4419,5,36
0613,Avon,1980,50.74,-1.78,415800,93300,10.65,12.11,2,0.8,7,94,204.5,25,59.4,0,90,10,0,165170.3578,366037.7907,5,34
0701,Avon,1980,51.58,-2.17,388000,187300,10.37,12.9,91,3,3,8,206.1,8,10.2,16,64,18,2,252103.9182,345744.186,5,35
0703,Tetbury Avon,1980,51.6,-2.12,391500,189300,10.36,12.96,76,1.5,3,5,204.8,3.7,16.4,77,15,5,3,254173.7649,348345.9302,5,35
0705,Avon,1980,51.57,-2.08,394300,186200,10.31,12.97,59,1.3,5,12,212.1,16,19.8,39,45,17,0,251068.9949,350427.3256,5,36
0707,Avon,1980,51.55,-2.05,396500,183100,10.24,12.91,59,1.1,5,17,237,9.3,20.2,77,18,5,0,248999.1482,351988.3721,5,35
0709,Avon,1980,51.48,-2.08,394700,175800,10.22,12.88,52,1,5,25,251.1,15,60,0,82,18,0,241754.6848,350427.3256,5,36
0711,Avon,1980,51.41,-2.11,392200,168100,10.19,12.86,38,0.6,6,40,245.6,15,31.1,15,68,17,0,234510.2215,348866.2791,5,36
0713,Avon,1980,51.35,-2.21,385600,160900,10.2,12.64,15,0.5,6,50,223.7,20,200,0,0,0,100,228300.6814,343662.7907,7,41
0771,By Brook,1980,51.51,-2.24,383400,178900,10.31,12.82,91,7.7,1,8,221.3,5.8,32.2,18,53,24,4,244859.4549,342101.7442,6,39
0773,By Brook,1980,51.46,-2.23,383700,173800,10.28,12.73,53,4,3,16,221.3,7.1,37.7,6,72,20,2,239684.8382,342622.093,6,39
0775,By Brook,1980,51.42,-2.27,381500,168700,10.25,12.66,30,2.9,4,24,201.7,9.4,42.8,17,52,28,3,235545.1448,340540.6977,6,37
0781,Avon,1980,51.57,-2.23,384100,186000,10.38,12.87,107,5.3,1,0.6,239.2,2.6,16.9,26,36,11,27,251068.9949,342622.093,6,39
0801,Avon Water,1980,50.79,-1.65,425000,99600,10.64,12.31,29,3.3,1,6,95.2,6.5,14.3,0,84,12,4,170344.9744,372802.3256,3,25
0803,Avon Water,1980,50.76,-1.59,429200,96100,10.72,12.2,12,2.2,2,12,95.2,5.7,16.4,0,48,28,23,167240.2044,375924.4186,6,38
0805,Avon Water,1980,50.75,-1.56,430700,94100,10.74,12.16,7,2.2,2,15,44,4.3,25.6,0,44,39,17,166205.2811,377485.4651,6,38
0901,Candover Brook,1980,51.11,-1.19,456500,134500,10.37,13.08,65,2.3,2,4,202,4.3,31.3,1,83,15,1,203462.5213,396738.3721,6,38
0903,Itchen,1980,51.09,-1.25,452300,132500,10.37,13.05,46,1.8,5,14,224,4,46.1,0,62,15,23,201392.6746,393616.2791,5,34
0905,Itchen,1980,51.05,-1.31,448100,128200,10.4,12.97,21,1.8,5,22,232,9.7,33.6,4,72,18,6,197252.9813,390494.186,5,35
0907,Itchen,1980,51.01,-1.33,447000,123300,10.51,12.98,19,1.7,6,30,231,21.7,34.1,0,43,38,19,193113.2879,389453.4884,5,34
0909,Itchen,1980,50.95,-1.34,446600,117500,10.67,12.72,8,1.8,6,39,205,7.3,40.2,0,32,29,39,186903.7479,388933.1395,5,34
1001,Rother,1980,51.04,-0.9,477300,127300,10.24,12.78,55,2.5,2,5,126,6.8,16.7,12,65,4,19,196218.0579,411828.4884,5,35
1003,Rother,1980,51.03,-0.9,476900,126000,10.25,12.78,40,2.5,2,7,126,8.6,30.3,54,34,7,6,195183.1346,411828.4884,5,35
