Kingdom,Phylum_division,Subphylum,Superclass,Class,Order,Family,Genus,Latin
animalia,mollusca,NA,NA,gastropoda,basommatophora,lymnaeidae,radix,unknown (radix genus)
animalia,arthropoda,hexapoda,NA,insecta,ephemeroptera,caenidae,caenis,unknown (caenis genus)
animalia,arthropoda,hexapoda,NA,insecta,diptera,ceratopogonidae,unknown (ceratopogonidae family),unknown (ceratopogonidae family)
animalia,arthropoda,hexapoda,NA,insecta,diptera,chaoboridae,unknown (chaoboridae family),unknown (chaoboridae family)
animalia,arthropoda,hexapoda,NA,insecta,ephemeroptera,heptageniidae,epeorus,epeorus longimanus
animalia,arthropoda,hexapoda,NA,insecta,ephemeroptera,baetidae,baetis,baetis brunneicolor
animalia,arthropoda,hexapoda,NA,insecta,ephemeroptera,unknown (ephemeroptera order),unknown (ephemeroptera order),unknown (ephemeroptera order)
animalia,arthropoda,hexapoda,NA,insecta,plecoptera,unknown (plecoptera order),unknown (plecoptera order),unknown (plecoptera order)
animalia,arthropoda,hexapoda,NA,insecta,coleoptera,unknown (coleoptera order),unknown (coleoptera order),unknown (coleoptera order)
animalia,annelida,NA,NA,oligochaeta,unknown (oligochaeta clade),unknown (oligochaeta clade),unknown (oligochaeta clade),unknown (oligochaeta clade)
animalia,arthropoda,unknown (collembola class),unknown (collembola class),collembola,unknown (collembola order),unknown (collembola order),unknown (collembola order),unknown (collembola order)
animalia,arthropoda,hexapoda,NA,insecta,diptera,unknown (diptera order),unknown (diptera order),unknown (diptera order)
