"sample_id","site_id","date_id","latitude","longitude","brt20","brt12","richness","ta7"
"site_00034_date_00001_pepe_barquin",34,1,2344410.838,3213197.125,"RT6","RT02",45,NA
"site_00034_date_00009_aqem_Sweden",34,9,4454239.324,4677837.339,"RT6","RT05",12,NA
"site_00034_date_00264_ebro",34,264,2192887.966,3475785.859,"RT6","RT11",44,NA
"site_00035_date_00001_pepe_barquin",35,1,2350859.617,3211990.058,"RT18","RT02",34,"E"
"site_00035_date_00003_monitoring_portugual",35,3,1966731.572,2838464.26,"RT18","RT12",29,"E"
"site_00035_date_00264_ebro",35,264,2202486.611,3468621.426,"RT18","RT11",33,"E"
"site_00036_date_00001_pepe_barquin",36,1,2357015.649,3214071.745,"RT14","RT02",52,"G"
"site_00036_date_00353_ebro",36,353,2245994.712,3476142.222,"RT14","RT10",33,"G"
"site_00037_date_00001_pepe_barquin",37,1,2334917.707,3151389.424,"RT4","RT10",40,"D"
"site_00037_date_00003_monitoring_portugual",37,3,1804884.038,2692606.081,"RT4","RT11",22,"D"
"site_00037_date_00020_monitoring_poland",37,20,3400215.756,5234448.792,"RT4","RT02",23,"D"
"site_00039_date_00010_aqem_Sweden",39,10,4297091.965,4650056.018,"RT6","RT05",17,NA
"site_00039_date_00264_monitoring_poland",39,264,3368699.72,5240217.092,"RT6","RT04",22,NA
"site_00040_date_00001_pepe_barquin",40,1,2356986.284,3152545.797,"RT14","RT04",42,"G"
"site_00040_date_00353_ebro",40,353,2239279.98,3476368.599,"RT14","RT10",35,"G"
"site_00041_date_00003_monitoring_portugual",41,3,1916188.158,2818174.899,"RT19","RT12",17,NA
"site_00042_date_00001_pepe_barquin",42,1,2330957.286,3206026.899,"RT9","RT07",37,"F"
"site_00042_date_00011_aqem_Sweden",42,11,4292562.178,4664263.624,"RT9","RT09",27,"F"
"site_00043_date_00001_pepe_barquin",43,1,2332699.95,3199647.118,"RT6","RT06",47,NA
"site_00043_date_00011_aqem_Sweden",43,11,4202722.708,4642351.586,"RT6","RT05",24,NA
"site_00044_date_00248_monitoring_poland",44,248,3386171.224,5204343.05,"RT4","RT02",21,"D"
"site_00045_date_00003_monitoring_portugual",45,3,1842039.2,2814568.378,"RT19","RT12",31,NA
"site_00045_date_00009_monitoring_croatia",45,9,2449737.351,4642952.716,"RT19","RT12",12,NA
"site_00046_date_00012_aqem_Sweden",46,12,4179577.96,4683982.118,"RT6","RT04",12,NA
"site_00047_date_00001_pepe_barquin",47,1,2335708.019,3203215.896,"RT5","RT03",45,"D"
"site_00048_date_00253_ebro",48,253,2164187.105,3604672.633,"RT18","RT11",35,"E"
"site_00049_date_00003_monitoring_portugual",49,3,1818819.009,2802491.477,"RT2","RT12",21,"B"
"site_00049_date_00040_monitoring_finnland",49,40,4384488.04,5200500.504,"RT2","RT04",30,"B"
"site_00050_date_00001_pepe_barquin",50,1,2341255.604,3135738.357,"RT9","RT08",39,"F"
"site_00050_date_00014_aqem_Sweden",50,14,4489021.988,4487423.819,"RT9","RT09",14,"F"
"site_00050_date_00032_rcs",50,32,2996424.193,3813765.588,"RT9","RT03",35,"F"
"site_00050_date_00041_monitoring_finnland",50,41,4410182.462,5304301.914,"RT9","RT04",21,"F"
"site_00051_date_00040_monitoring_finnland",51,40,4385717.792,5202778.797,"RT2","RT04",25,"B"
"site_00053_date_00001_aqem_romania",53,1,2713423.551,5335763.852,"RT10","RT06",30,"E"
"site_00053_date_00234_monitoring_poland",53,234,3401911.576,5238985.823,"RT10","RT02",23,"E"
"site_00053_date_00253_ebro",53,253,2143378.481,3601272.167,"RT10","RT11",39,"E"
