"sample","HC5_aj","lower","upper","chem","site_id","date_id","latitude","longitude","brt20","brt20_aggregate","brt12","RT_AF","richness","ta7"
"site_00016_date_00280_ebro",230.489644865593,157.469412000325,333.998944430717,"ATZ",16,280,2258850.98379251,3438158.77706221,"RT14","RT14_15_16","RT10",NA,38,"G"
"site_00017_date_00001_pepe_barquin",158.21636675973,85.5414075881057,307.945217591314,"ATZ",17,1,2337144.27772034,3234813.92327417,"RT12","RT12","RT02",NA,43,NA
"site_00017_date_00005_aqem_Sweden",71.3137565211712,26.605393299256,235.907281019537,"ATZ",17,5,4131410.56447693,4577713.46383193,"RT12","RT12","RT09",NA,18,NA
"site_00017_date_00017_miljodata_sweden",122.821637490115,75.9948313283444,205.249269714457,"ATZ",17,17,6225833,496102,"RT3",NA,"RT05",NA,51,"C"
"site_00017_date_00278_ebro",213.481145722565,151.644127369898,299.24198892129,"ATZ",17,278,2231611.8777376,3442092.92732519,"RT12","RT12","RT11",NA,40,NA
"site_00017_date_00531_monitoring_poland",66.0686920885469,18.4318228534583,317.705147503693,"ATZ",17,531,3362005.23887125,5162902.36202965,"RT12","RT12","RT02",NA,17,NA
"site_00018_date_00018_miljodata_sweden",117.253073443383,70.8141172456288,204.54254189163,"ATZ",18,18,6237996,480506,"RT6",NA,"RT04",NA,55,NA
"site_00019_date_00001_pepe_barquin",178.124656238032,105.672046638417,336.561439360277,"ATZ",19,1,2340538.12611119,3126010.35172966,"RT15","RT14_15_16","RT08",NA,28,"G"
"site_00019_date_00049_miljodata_sweden",152.906885196253,74.6797695358506,355.442446624704,"ATZ",19,49,6319106,413711,"RT3",NA,"RT05",NA,24,"C"
"site_00019_date_00280_ebro",162.559787965058,94.711657886986,292.099141309981,"ATZ",19,280,2256014.24221526,3446667.03017997,"RT15","RT14_15_16","RT10",NA,34,"G"
"site_00020_date_00001_pepe_barquin",160.399938365875,98.9431306724898,276.834249363711,"ATZ",20,1,2343975.71941348,3134832.96570343,"RT19","RT19","RT08",NA,39,NA
"site_00020_date_00049_miljodata_sweden",811.076699096639,766.255644918614,889.071559062199,"ATZ",20,49,6302132,392431,"RT3",NA,"RT05",NA,5,"C"
"site_00020_date_00279_ebro",169.577170469809,101.563641240414,293.659654835456,"ATZ",20,279,2237090.93231513,3451011.38596432,"RT19","RT19","RT12",NA,39,NA
"site_00021_date_00001_pepe_barquin",147.996135056532,90.9051919274225,261.078762057537,"ATZ",21,1,2347369.28541956,3139793.94153739,"RT19","RT19","RT08",NA,51,NA
"site_00021_date_00036_miljodata_sweden",121.621438603644,74.0121945397064,216.497628748483,"ATZ",21,36,6282493,381448,"RT6",NA,"RT05",NA,47,NA
"site_00021_date_00278_ebro",192.684764694156,133.536649921198,300.250525622223,"ATZ",21,278,2238313.25898031,3447253.57433213,"RT19","RT19","RT12",NA,39,NA
"site_00022_date_00014_monitoring_poland",128.196266283859,48.853969839443,435.513801078897,"ATZ",22,14,3485501.01246527,4814387.30646002,"RT18","RT8_10_11_18","RT05",NA,19,"E"
"site_00022_date_00050_miljodata_sweden",84.0136758116715,37.0630662493966,203.150389728214,"ATZ",22,50,7038648,521368,"RT8",NA,"RT08",NA,30,"E"
"site_00022_date_00222_miljodata_sweden",68.1255646612179,26.053826759193,217.899268066746,"ATZ",22,222,6558412,583296,"RT6",NA,"RT08",NA,23,NA
"site_00022_date_00278_ebro",167.977427189868,102.31629381963,279.656929627052,"ATZ",22,278,2224423.26252393,3454906.23767425,"RT18","RT8_10_11_18","RT11",NA,44,"E"
"site_00023_date_00007_aqem_Sweden",70.6505851738558,21.9248163836615,303.613883088988,"ATZ",23,7,4279409.86877032,4501724.11456,"RT9","RT9","RT09",NA,11,"F"
"site_00023_date_00014_monitoring_poland",131.277778892613,42.8477462875829,471.78383192522,"ATZ",23,14,3501447.95398506,4845083.37889532,"RT9","RT9","RT04",NA,21,"F"
"site_00023_date_00040_miljodata_sweden",132.664178710965,76.4221885409311,254.169445215382,"ATZ",23,40,6337178,456028,"RT6",NA,"RT05",NA,39,NA
"site_00024_date_00001_pepe_barquin",190.180397549415,98.843763128114,397.432895729573,"ATZ",24,1,2318644.9378357,3174140.69696232,"RT7","RT7","RT10",NA,31,NA
"site_00024_date_00054_miljodata_sweden",143.725427002182,92.8234528670783,229.735444388972,"ATZ",24,54,6526457,636722,"RT6",NA,"RT04",NA,78,NA
"site_00024_date_00544_monitoring_poland",114.804327347258,30.3480384964067,538.977819903869,"ATZ",24,544,3403873.52614637,5137928.81309457,"RT7","RT7","RT02",NA,17,NA
"site_00025_date_00022_miljodata_sweden",337.577421022008,167.773844426328,797.919347887274,"ATZ",25,22,6551428,578455,"RT3",NA,"RT05",NA,10,"C"
"site_00025_date_00278_ebro",156.35037757312,88.1670176756133,293.001481311077,"ATZ",25,278,2222609.04593122,3450804.35165426,"RT18","RT8_10_11_18","RT11",NA,45,"E"
"site_00026_date_00035_miljodata_sweden",166.820112147711,102.765680463091,280.501311723813,"ATZ",26,35,6292542,403889,"RT3",NA,"RT05",NA,39,"C"
"site_00026_date_00234_monitoring_poland",130.98477635859,48.3274177739982,430.40469275346,"ATZ",26,234,3422978.52562027,5147519.163334,"RT7","RT7","RT02",NA,26,NA
"site_00027_date_00001_pepe_barquin",141.266677433155,75.3453754518513,290.688762690859,"ATZ",27,1,2358071.18343498,3161942.30838862,"RT14","RT14_15_16","RT04",NA,41,"G"
"site_00027_date_00060_miljodata_sweden",152.681468418531,92.5464859373093,271.308521692287,"ATZ",27,60,6382547,340666,"RT6",NA,"RT05",NA,34,NA
"site_00027_date_00248_monitoring_poland",437.330593172626,131.907311704455,1737.58797973357,"ATZ",27,248,3383245.77506746,5208453.612572,"RT14","RT14_15_16","RT02",NA,14,"G"
"site_00028_date_00001_pepe_barquin",213.385443556741,131.781976464281,354.190258750119,"ATZ",28,1,2336858.13690013,3133952.3998508,"RT3","RT3","RT09",NA,29,"C"
"site_00028_date_00014_monitoring_poland",150.596199350219,46.3761219433266,603.094279772359,"ATZ",28,14,3505484.13375479,4840961.41735613,"RT3","RT3","RT05",NA,18,"C"
"site_00028_date_00061_miljodata_sweden",210.387783415995,129.755372627771,374.393843008699,"ATZ",28,61,6587380,385573,"RT2",NA,"RT04",NA,28,"B"
"site_00029_date_00001_pepe_barquin",166.537675289515,104.316730843812,280.801878804304,"ATZ",29,1,2331856.78346966,3229102.98725619,"RT18","RT8_10_11_18","RT02",NA,40,"E"
"site_00029_date_00008_naiades",146.608081390768,72.3618518256217,324.868601273826,"ATZ",29,8,3076596.93791153,3740092.83479427,"RT18","RT8_10_11_18","RT03",NA,37,"E"
"site_00029_date_00063_miljodata_sweden",109.264527183061,63.0314212892953,206.084959652979,"ATZ",29,63,6561452,637680,"RT3",NA,"RT05",NA,48,"C"
"site_00029_date_00275_ebro",101.57887193013,43.7324066431276,232.371564830606,"ATZ",29,275,2192777.37342752,3434314.47303569,"RT18","RT8_10_11_18","RT11",NA,39,"E"
"site_00030_date_00001_pepe_barquin",227.995781262522,156.693845682165,361.221438974038,"ATZ",30,1,2321624.21221027,3161178.55867038,"RT9","RT9","RT10",NA,35,"F"
"site_00030_date_00008_aqem_Sweden",88.0808801601812,40.5671359823222,222.037427420557,"ATZ",30,8,4320441.27503887,4566780.85359849,"RT9","RT9","RT09",NA,22,"F"
"site_00030_date_00063_miljodata_sweden",150.826312535657,96.2974763712401,245.158823007478,"ATZ",30,63,6555227,634745,"RT3",NA,"RT05",NA,53,"C"
"site_00030_date_00595_ebro",133.838757967918,69.9194866858607,263.336970695127,"ATZ",30,595,2198311.32203633,3434819.65147855,"RT9","RT9","RT11",NA,30,"F"
"site_00031_date_00044_miljodata_sweden",116.726591218853,27.8544986691148,562.807604280789,"ATZ",31,44,6323148,515611,"RT3",NA,"RT05",NA,14,"C"
"site_00031_date_00275_ebro",138.408598764558,73.431162002383,279.021705666617,"ATZ",31,275,2206452.68594405,3444544.98028307,"RT18","RT8_10_11_18","RT11",NA,39,"E"
"site_00031_date_00290_monitoring_poland",198.939208618376,64.7789085268204,754.946562834182,"ATZ",31,290,3447996.77076836,5155183.16402116,"RT18","RT8_10_11_18","RT02",NA,19,"E"
"site_00032_date_00061_miljodata_sweden",98.3081306603705,57.3060146233586,176.023979325119,"ATZ",32,61,6327724,471494,"RT3",NA,"RT05",NA,62,"C"
"site_00032_date_00715_ebro",158.041424599621,88.3666524908062,308.990271396349,"ATZ",32,715,2204463.02372407,3456968.93670144,"RT18","RT8_10_11_18","RT11",NA,38,"E"
"site_00033_date_00001_pepe_barquin",157.835967452133,95.35723205468,279.396394227767,"ATZ",33,1,2339474.76619277,3211651.71182454,"RT18","RT8_10_11_18","RT07",NA,36,"E"
"site_00033_date_00044_miljodata_sweden",185.921228744735,126.836210125233,286.38290257452,"ATZ",33,44,6311612,516497,"RT9",NA,"RT09",NA,57,"F"
"site_00033_date_00277_ebro",148.413693238283,88.3982429970812,269.376762776942,"ATZ",33,277,2207596.2407572,3462971.5951982,"RT18","RT8_10_11_18","RT11",NA,45,"E"
"site_00033_date_00586_monitoring_poland",111.489637900334,44.0708063776563,351.184031289711,"ATZ",33,586,3467656.17771071,5159494.91490617,"RT18","RT8_10_11_18","RT04",NA,26,"E"
"site_00034_date_00001_pepe_barquin",120.215911139813,67.4002679782504,224.581268205242,"ATZ",34,1,2344410.83754893,3213197.1248877,"RT6","RT6","RT02",NA,45,NA
"site_00034_date_00009_aqem_Sweden",322.162582356928,228.619644929481,478.025398363699,"ATZ",34,9,4454239.32401538,4677837.33853161,"RT6","RT6","RT05",NA,12,NA
"site_00034_date_00018_miljodata_sweden",124.686541566807,60.2086349648083,288.57037329984,"ATZ",34,18,6611064,347304,"RT12",NA,"RT09",NA,29,NA
"site_00034_date_00264_ebro",158.238465347852,95.4279180034738,276.072632766775,"ATZ",34,264,2192887.96604252,3475785.85859598,"RT6","RT6","RT11",NA,44,NA
"site_00035_date_00001_pepe_barquin",133.584160944029,68.1506628487278,292.637008621208,"ATZ",35,1,2350859.61727625,3211990.05814289,"RT18","RT8_10_11_18","RT02",NA,34,"E"
"site_00035_date_00003_monitoring_portugual",207.76389712753,136.02580860669,325.277407305638,"ATZ",35,3,1966731.57153033,2838464.25969362,"RT18","RT8_10_11_18","RT12",NA,29,"E"
"site_00035_date_00061_miljodata_sweden",134.053587405143,78.3123123808456,248.64882808024,"ATZ",35,61,6576747,348540,"RT6",NA,"RT05",NA,43,NA
"site_00035_date_00264_ebro",163.873392762363,96.1209626839822,284.629902863954,"ATZ",35,264,2202486.61125461,3468621.42648139,"RT18","RT8_10_11_18","RT11",NA,33,"E"
"site_00036_date_00001_pepe_barquin",160.628834927555,88.4708114406324,294.828252456775,"ATZ",36,1,2357015.6492937,3214071.74530281,"RT14","RT14_15_16","RT02",NA,52,"G"
"site_00036_date_00067_miljodata_sweden",129.258645920523,62.646037603306,305.888233814616,"ATZ",36,67,6640136,538420,"RT6",NA,"RT04",NA,24,NA
"site_00036_date_00353_ebro",175.125358520505,108.776934325202,302.119605310468,"ATZ",36,353,2245994.71222338,3476142.22241913,"RT14","RT14_15_16","RT10",NA,33,"G"
"site_00037_date_00001_pepe_barquin",177.269996395096,115.220399272552,291.341018625431,"ATZ",37,1,2334917.70744766,3151389.42449767,"RT4","RT4_5","RT10",NA,40,"D"
"site_00037_date_00003_monitoring_portugual",166.645322577262,74.4835838240057,382.355897271781,"ATZ",37,3,1804884.0381598,2692606.08078424,"RT4","RT4_5","RT11",NA,22,"D"
"site_00037_date_00020_monitoring_poland",157.886554497425,62.4013787086447,458.794791830747,"ATZ",37,20,3400215.75632595,5234448.79214989,"RT4","RT4_5","RT02",NA,23,"D"
"site_00037_date_00070_miljodata_sweden",137.471969127789,82.9552838170632,240.073677826748,"ATZ",37,70,6633396,530845,"RT3",NA,"RT05",NA,58,"C"
"site_00038_date_00044_miljodata_sweden",304.148120995623,149.250129594807,746.105938118566,"ATZ",38,44,6303819,495647,"RT6",NA,"RT04",NA,11,NA
"site_00039_date_00010_aqem_Sweden",316.007730361289,237.416781706861,446.197305190838,"ATZ",39,10,4297091.96477974,4650056.01755536,"RT6","RT6","RT05",NA,17,NA
"site_00039_date_00071_miljodata_sweden",211.413103293815,37.9594595609812,1829.26679195545,"ATZ",39,71,6605422,472916,"RT3",NA,"RT05",NA,8,"C"
"site_00039_date_00264_monitoring_poland",242.755321693176,95.3522507775869,713.122385949448,"ATZ",39,264,3368699.71992133,5240217.09234555,"RT6","RT6","RT04",NA,22,NA
"site_00040_date_00001_pepe_barquin",148.774429477108,82.06644838468,294.544308812931,"ATZ",40,1,2356986.28391943,3152545.79725709,"RT14","RT14_15_16","RT04",NA,42,"G"
"site_00040_date_00072_miljodata_sweden",147.101218208291,97.3044774546228,238.078664596682,"ATZ",40,72,6458422,310367,"RT7",NA,"RT02",NA,58,NA
"site_00040_date_00353_ebro",210.560303151596,139.893482150181,330.342272427602,"ATZ",40,353,2239279.98012108,3476368.59881157,"RT14","RT14_15_16","RT10",NA,35,"G"
"site_00041_date_00003_monitoring_portugual",171.892294118212,74.7540812292986,455.368175705251,"ATZ",41,3,1916188.15818768,2818174.89929637,"RT19","RT19","RT12",NA,17,NA
"site_00041_date_00036_miljodata_sweden",207.460729968788,149.149949563809,294.825171073471,"ATZ",41,36,6524402,304388,"RT6",NA,"RT04",NA,67,NA
"site_00042_date_00001_pepe_barquin",164.550483686085,105.855434990169,285.506205041449,"ATZ",42,1,2330957.28641162,3206026.89906265,"RT9","RT9","RT07",NA,37,"F"
"site_00042_date_00011_aqem_Sweden",125.478253938355,70.5291437403623,252.707465287469,"ATZ",42,11,4292562.17773673,4664263.6241586,"RT9","RT9","RT09",NA,27,"F"
"site_00042_date_00025_miljodata_sweden",101.442706467784,57.6208731725768,185.339016256262,"ATZ",42,25,6388795,545084,"RT6",NA,"RT04",NA,57,NA
"site_00043_date_00001_pepe_barquin",181.661246494278,116.634150052833,306.182787156746,"ATZ",43,1,2332699.94976516,3199647.11828474,"RT6","RT6","RT06",NA,47,NA
"site_00043_date_00011_aqem_Sweden",152.491265549867,87.0460287392271,295.299448201004,"ATZ",43,11,4202722.70773988,4642351.58550891,"RT6","RT6","RT05",NA,24,NA
"site_00043_date_00071_miljodata_sweden",133.490501328963,80.2788372815442,245.658904378723,"ATZ",43,71,6423441,564895,"RT3",NA,"RT05",NA,44,"C"
"site_00044_date_00077_miljodata_sweden",119.036286460602,67.7186878408734,211.315540647181,"ATZ",44,77,7333268,865858,"RT6",NA,"RT04",NA,46,NA
"site_00044_date_00248_monitoring_poland",96.0734636283467,35.2782412799086,266.925568775337,"ATZ",44,248,3386171.22358554,5204343.05033294,"RT4","RT4_5","RT02",NA,21,"D"
"site_00045_date_00003_monitoring_portugual",172.379509042209,95.9622384447649,344.75456909006,"ATZ",45,3,1842039.19996131,2814568.37781,"RT19","RT19","RT12",NA,31,NA
"site_00045_date_00009_monitoring_croatia",88.114004904848,35.059380045411,285.340520928375,"ATZ",45,9,2449737.35104889,4642952.71572044,"RT19","RT19","RT12",NA,12,NA
"site_00045_date_00010_miljodata_sweden",149.94374884034,91.6088523462328,253.940279129767,"ATZ",45,10,6272787,544705,"RT6",NA,"RT05",NA,43,NA
"site_00046_date_00012_aqem_Sweden",69.4175352251671,17.3817961112611,375.20387976829,"ATZ",46,12,4179577.96033055,4683982.11783469,"RT6","RT6","RT04",NA,12,NA
"site_00046_date_00036_miljodata_sweden",294.217451697302,125.944847053553,935.834012742859,"ATZ",46,36,6288378,524888,"RT3",NA,"RT05",NA,8,"C"
"site_00047_date_00001_pepe_barquin",170.590037188938,108.971809193964,287.193173869978,"ATZ",47,1,2335708.01853522,3203215.89636391,"RT5","RT4_5","RT03",NA,45,"D"
"site_00047_date_00079_miljodata_sweden",221.192770187728,121.531706527878,441.405124029937,"ATZ",47,79,6547594,315641,"RT6",NA,"RT04",NA,18,NA
"site_00048_date_00083_miljodata_sweden",156.761571669326,44.7145219594395,579.640553367839,"ATZ",48,83,7282225,796227,"RT6",NA,"RT05",NA,13,NA
"site_00048_date_00253_ebro",119.961648407732,55.8731947238138,260.08128521199,"ATZ",48,253,2164187.104783,3604672.63270553,"RT18","RT8_10_11_18","RT11",NA,35,"E"
"site_00049_date_00003_monitoring_portugual",150.479999246381,66.2687168021373,405.210999909272,"ATZ",49,3,1818819.0093226,2802491.47689474,"RT2","RT2","RT12",NA,21,"B"
"site_00049_date_00024_miljodata_sweden",120.293150157643,69.5935350769571,229.409031475968,"ATZ",49,24,6441770,447338,"RT3",NA,"RT05",NA,59,"C"
"site_00049_date_00040_monitoring_finnland",95.012682989754,49.0622419043545,197.04295197483,"ATZ",49,40,4384488.03986304,5200500.50360999,"RT2","RT2","RT04",NA,30,"B"
"site_00050_date_00001_pepe_barquin",157.493342093735,91.9892126112089,273.965211490787,"ATZ",50,1,2341255.60446085,3135738.35706366,"RT9","RT9","RT08",NA,39,"F"
"site_00050_date_00014_aqem_Sweden",364.279705358646,280.162865450351,512.563844693018,"ATZ",50,14,4489021.98840344,4487423.81884168,"RT9","RT9","RT09",NA,14,"F"
"site_00050_date_00032_rcs",137.248528767069,59.9004054544264,378.224577831285,"ATZ",50,32,2996424.19338507,3813765.58820851,"RT9","RT9","RT03",NA,35,"F"
"site_00050_date_00041_monitoring_finnland",97.6172569986494,45.2412030478697,226.243316491048,"ATZ",50,41,4410182.46164152,5304301.91351101,"RT9","RT9","RT04",NA,21,"F"
"site_00050_date_00087_miljodata_sweden",120.431251552019,59.0623514159058,267.39169866621,"ATZ",50,87,7287010,663453,"RT9",NA,"RT09",NA,32,"F"
"site_00051_date_00040_monitoring_finnland",78.6413323893481,30.9967437699082,201.127656178399,"ATZ",51,40,4385717.79191456,5202778.79740903,"RT2","RT2","RT04",NA,25,"B"
"site_00051_date_00090_miljodata_sweden",144.739337479875,91.9670289134147,232.138337966814,"ATZ",51,90,7166268,624434,"RT12",NA,"RT08",NA,59,NA
"site_00052_date_00040_miljodata_sweden",126.182397205132,74.7396604690743,238.725689834496,"ATZ",52,40,6448490,571284,"RT6",NA,"RT04",NA,42,NA
"site_00053_date_00001_aqem_romania",192.915226660121,98.8148387093371,401.810550792105,"ATZ",53,1,2713423.55148184,5335763.85154686,"RT10","RT8_10_11_18","RT06",NA,30,"E"
"site_00053_date_00094_miljodata_sweden",199.29026888187,100.835776674673,436.749871030332,"ATZ",53,94,7411751,571098,"RT9",NA,"RT09",NA,21,"F"
"site_00053_date_00234_monitoring_poland",211.007631485401,87.0103550192075,561.620953282441,"ATZ",53,234,3401911.57562783,5238985.82279412,"RT10","RT8_10_11_18","RT02",NA,23,"E"
"site_00053_date_00253_ebro",142.078037474456,78.6889033935854,284.006444327158,"ATZ",53,253,2143378.48112489,3601272.16651336,"RT10","RT8_10_11_18","RT11",NA,39,"E"
"site_00054_date_00029_miljodata_sweden",145.573338303985,28.4056687564108,1319.72431004848,"ATZ",54,29,7114434,756591,"RT6",NA,"RT04",NA,8,NA
"site_00054_date_00253_ebro",210.025108074193,130.16164686975,357.592637949653,"ATZ",54,253,2147085.26219621,3589753.26088678,"RT18","RT8_10_11_18","RT11",NA,34,"E"
"site_00055_date_00003_monitoring_portugual",147.532604413938,66.5813732664638,398.302001760985,"ATZ",55,3,1818050.67136188,2682846.79049721,"RT12","RT12","RT11",NA,19,NA
